#LDPC, n = 648, k = 324
#SNR (dB) - BER - PER
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 0.999 1 1 1 1 1 0.999 0.997 0.999 0.997 0.998 0.997 0.996 0.996 0.996 0.996 0.996 0.996 0.995 0.995 0.995 0.995 0.994 0.994 0.995 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 
1.5 1 1 1 1 0.999 0.994 0.99 0.989 0.986 0.986 0.987 0.981 0.982 0.977 0.978 0.976 0.971 0.968 0.963 0.958 0.959 0.957 0.955 0.955 0.955 0.954 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 0.953 
2 1 1 0.999 0.996 0.979 0.953 0.939 0.932 0.926 0.919 0.919 0.917 0.909 0.902 0.884 0.88 0.867 0.853 0.849 0.84 0.838 0.831 0.828 0.826 0.824 0.819 0.818 0.815 0.815 0.813 0.813 0.811 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.809 0.809 
2.5 1 1 0.999 0.952 0.878 0.808 0.78 0.769 0.76 0.75 0.735 0.723 0.712 0.693 0.679 0.654 0.633 0.618 0.599 0.588 0.578 0.568 0.565 0.559 0.551 0.544 0.54 0.537 0.54 0.537 0.536 0.536 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.531 0.531 0.531 0.531 0.531 0.531 0.531 0.531 0.531 0.531 
3 1 0.999 0.959 0.839 0.643 0.526 0.5 0.488 0.471 0.445 0.441 0.428 0.408 0.386 0.362 0.326 0.301 0.286 0.272 0.268 0.268 0.261 0.252 0.244 0.241 0.242 0.232 0.232 0.231 0.23 0.229 0.228 0.227 0.226 0.225 0.225 0.225 0.224 0.224 0.224 0.224 0.224 0.224 0.224 0.224 0.224 0.224 0.224 0.224 0.224 
3.5 1 0.986 0.849 0.547 0.321 0.258 0.247 0.232 0.218 0.212 0.189 0.178 0.168 0.145 0.124 0.11 0.09 0.086 0.078 0.078 0.075 0.073 0.07 0.067 0.064 0.061 0.062 0.062 0.058 0.058 0.057 0.057 0.054 0.054 0.054 0.053 0.053 0.053 0.053 0.053 0.053 0.052 0.053 0.052 0.052 0.052 0.052 0.052 0.052 0.052 
4 1 0.944 0.581 0.256 0.12 0.087 0.079 0.072 0.069 0.064 0.054 0.052 0.05 0.037 0.031 0.027 0.015 0.014 0.013 0.012 0.011 0.01 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 0.007 
4.5 0.999 0.803 0.291 0.086 0.036 0.029 0.025 0.02 0.018 0.018 0.016 0.014 0.011 0.012 0.01 0.005 0.004 0.005 0.004 0.003 0.003 0.003 0.002 0.001 0.001 0.002 0.001 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
5 0.989 0.526 0.105 0.023 0.011 0.011 0.01 0.009 0.006 0.005 0.003 0.004 0.003 0.001 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5.5 0.948 0.282 0.037 0.008 0.001 0.001 0.001 0.001 0 0.001 0 0.001 0.001 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 0.8 0.123 0.012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
