#LDPC, n = 648, k = 324
#SNR (dB) - BER - PER
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 0.998 0.998 0.998 0.998 0.998 0.996 0.997 0.996 0.995 0.994 0.994 0.991 0.991 0.992 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 0.991 
1.5 1 1 1 0.999 0.995 0.989 0.987 0.985 0.984 0.982 0.982 0.98 0.98 0.979 0.975 0.976 0.972 0.972 0.972 0.969 0.969 0.968 0.966 0.964 0.964 0.964 0.964 0.963 0.963 0.961 0.962 0.961 0.961 0.96 0.961 0.961 0.961 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 
2 1 1 1 0.994 0.981 0.957 0.944 0.938 0.936 0.93 0.925 0.922 0.916 0.909 0.895 0.893 0.884 0.876 0.861 0.856 0.85 0.848 0.843 0.843 0.834 0.835 0.831 0.828 0.83 0.827 0.824 0.825 0.824 0.824 0.824 0.823 0.823 0.822 0.823 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 0.822 
2.5 1 1 0.999 0.959 0.885 0.795 0.772 0.762 0.752 0.744 0.733 0.721 0.72 0.702 0.69 0.664 0.64 0.618 0.607 0.599 0.589 0.587 0.577 0.567 0.563 0.557 0.552 0.553 0.55 0.544 0.541 0.542 0.539 0.538 0.537 0.536 0.536 0.537 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 0.535 
3 1 0.999 0.962 0.835 0.668 0.558 0.531 0.521 0.498 0.479 0.468 0.453 0.434 0.409 0.388 0.355 0.322 0.305 0.301 0.293 0.285 0.282 0.28 0.273 0.268 0.267 0.265 0.264 0.261 0.26 0.26 0.258 0.255 0.257 0.255 0.257 0.255 0.253 0.253 0.252 0.253 0.253 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.251 0.252 0.252 0.252 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 0.251 
3.5 1 0.996 0.842 0.572 0.362 0.286 0.267 0.252 0.241 0.224 0.219 0.195 0.193 0.174 0.153 0.138 0.122 0.11 0.101 0.1 0.095 0.092 0.086 0.085 0.085 0.079 0.078 0.077 0.078 0.075 0.072 0.072 0.072 0.071 0.072 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 0.07 
4 1 0.948 0.613 0.281 0.14 0.121 0.107 0.106 0.09 0.093 0.087 0.081 0.069 0.054 0.053 0.039 0.031 0.031 0.027 0.023 0.027 0.025 0.02 0.018 0.017 0.016 0.017 0.017 0.015 0.015 0.015 0.015 0.015 0.014 0.014 0.014 0.014 0.014 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 0.013 
4.5 0.998 0.795 0.322 0.097 0.059 0.045 0.039 0.033 0.032 0.032 0.023 0.025 0.02 0.008 0.008 0.007 0.005 0.006 0.005 0.006 0.006 0.004 0.004 0.003 0.003 0.004 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.003 
5 0.993 0.55 0.133 0.023 0.01 0.01 0.011 0.007 0.007 0.008 0.004 0.004 0.004 0.003 0 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5.5 0.94 0.302 0.04 0.006 0 0.001 0.001 0.001 0 0 0.001 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 0.805 0.124 0.006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
