#LDPC, n = 648, k = 324
#SNR (dB) - BER - PER
0 1 1 0.968 0.839 0.644 0.553 0.516 0.503 0.483 0.47 0.46 0.42 0.412 0.405 0.374 0.353 0.329 0.301 0.286 0.286 0.277 0.276 0.263 0.259 0.251 
0.5 1 0.987 0.844 0.565 0.338 0.266 0.242 0.226 0.223 0.205 0.191 0.19 0.171 0.154 0.141 0.125 0.097 0.096 0.086 0.086 0.078 0.078 0.074 0.072 0.07 
1 1 0.94 0.594 0.26 0.124 0.098 0.103 0.085 0.08 0.069 0.072 0.052 0.06 0.048 0.03 0.025 0.022 0.02 0.017 0.016 0.014 0.014 0.011 0.012 0.011 
1.5 0.998 0.79 0.303 0.081 0.034 0.024 0.025 0.02 0.021 0.018 0.017 0.014 0.012 0.012 0.007 0.006 0.006 0.003 0.003 0.002 0.003 0.002 0.001 0.001 0.001 
2 0.987 0.55 0.117 0.02 0.011 0.01 0.009 0.007 0.005 0.004 0.004 0.001 0.003 0 0 0 0 0 0 0 0 0 0 0 0 
2.5 0.94 0.285 0.037 0.004 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 0.785 0.107 0.004 0 0.001 0.001 0.001 0 0 0.001 0 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 
3.5 0.571 0.03 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 0.322 0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4.5 0.157 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 0.068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5.5 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 0.005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
